Model #,Description,lines,orders,total_spend,avg_line_spend
S-4125,"12 x 12 x 12"" Corrugated Boxes 25/bundle ",31,29,2479.75,79.99193548387096
S-423,"Uline Industrial Tape - 2 Mil, 2"" x 110 yds, Clear 36 rolls/case ",29,27,2958.12,102.00413793103448
S-11683,Oil-Dri&reg; Premium Bag - 35 lb ,29,29,2613.25,90.11206896551724
H-150,"Uline Industrial Side Loader Tape Dispenser - 2"" ",28,26,0.0,0.0
S-7127,"Uline Deluxe Multi-Fold Towels 4,000 sheets/case ",27,27,1672.0,61.925925925925924
S-7815,"American Flag Packing List Envelopes - 4 1/2 x 5 1/2"" 1,000/carton ",23,21,1530.0,66.52173913043478
S-209,"""Invoice Enclosed"" Banner Envelopes - Orange, 4 1/2 x 5 1/2""   1,000/carton ",22,22,2552.0,116.0
S-826,"Steel Strapping - Standard Grade, 3/4"" x .020"" x 2,058' ",19,17,6544.0,344.42105263157896
H-596,"Uline Industrial Side Loader Tape Dispenser - 3"" ",18,18,20.0,1.1111111111111112
S-4748,"40 x 8 x 8"" Long Corrugated Boxes 25/bundle ",17,17,6306.75,370.9852941176471
S-445,"Uline Industrial Tape - 2 Mil, 3"" x 110 yds, Clear 24 rolls/case ",17,17,2389.2,140.54117647058823
S-4854,"13 x 10 x 5"" Corrugated Boxes 25/bundle ",17,17,2184.5,128.5
S-4084,"8 x 8 x 8"" Corrugated Boxes 25/bundle ",17,17,1204.5,70.8529411764706
H-505,Spray Can Holder/Gun ,17,15,56.4,3.317647058823529
S-3968,"Uline Stretch Wrap - Cast, 120 gauge, 18"" x 1,000' 4 rolls/case ",16,16,4812.0,300.75
S-7131,Uline Toilet Tissue 96 rolls/case ,16,16,1232.0,77.0
S-3473,"Side Loading Packing List Envelopes - Clear, 6 x 9"" 1,000/carton ",15,15,3834.0,255.6
S-6802,"Desktop Direct Thermal Labels - 4 x 6"" 250/roll ",14,14,2880.0,205.71428571428572
S-4062,"6 x 6 x 6"" Corrugated Boxes 25/bundle ",14,14,708.75,50.625
S-16753,"17 x 12 x 10"" Corrugated Boxes 25/bundle ",13,11,1904.0,146.46153846153845
S-7711,Uline Paper Towels 30 rolls/case ,13,13,630.0,48.46153846153846
S-12700BL,"Uline Pallet Markers - Chisel-Tip, Black ",13,13,246.60000000000002,18.96923076923077
S-13318,"20 x 20 x 16"" 275 lb Double Wall Corrugated Boxes 10/bundle ",11,11,9828.0,893.4545454545455
S-4606,"10 x 10 x 48"" Tall Corrugated Boxes 20/bundle ",11,11,7280.0,661.8181818181819
S-22043,"Uline Fast Tack Spray Adhesive - Low VOC, 14 oz ",11,11,3045.0,276.8181818181818
S-6264,"Industrial Direct Thermal Labels - 4 x 6"" 1,000/roll ",11,11,2772.0,252.0
S-7247,"Universal Sorbent Pads - 15 x 19"", Heavy 100/carton ",11,11,1804.0,164.0
S-4913,"28 x 8 x 8"" Long Corrugated Boxes 25/bundle ",11,11,1433.0,130.27272727272728
S-821,"Uline Poly Strapping - 1/2"" x .024"" x 7,200', Black ",11,11,1087.0,98.81818181818181
S-4040,"4 x 4 x 4"" Corrugated Boxes 25/bundle ",11,11,440.0,40.0
S-20661,Uline Antibacterial Hand Soap - 7.5 oz Dispenser ,11,10,256.5,23.318181818181817
S-207,"""Packing List Enclosed"" Banner Envelopes - Orange, 4 1/2 x 5 1/2""   1,000/carton ",10,10,1581.0,158.1
S-8278P,"Economy Bubble Roll - 16"" x 375', 5/16"", Perforated 3 rolls/bundle ",10,8,1359.0,135.9
S-3575,"30 lb Kraft Paper Roll - 24"" x 1,200' ",10,10,918.0,91.8
S-4060,"6 x 4 x 4"" Corrugated Boxes 25/bundle ",10,10,499.5,49.95
S-3927P,"Economy Bubble Roll - 12"" x 750', 3/16"", Perforated 4 rolls/bundle ",9,7,1764.0,196.0
S-12404,"Jumbo Natural Nylon Cable Ties - 30"", 250 lb 100/pack ",9,9,1424.0,158.22222222222223
