Order #,Warehouse,Ext. Price
42822046,Orlando,6266.7
34325271,Charlotte,5526.5
43697080,Charlotte,5110.1
38840320,Charlotte,5015.599999999999
29039249,Charlotte,4885.75
36909727,Flowood,4195.0
45168556,Ontario,4151.4
34626904,Oklahoma City,4150.0
33958988,Orlando,3619.25
32561014,Ontario,3587.0
43399029,Ontario,3520.2
39225141,Flowood,3507.25
38458396,Ontario,3435.2
36869336,Charlotte,3106.9
31591530,Flowood,3067.5
31693784,Orlando,2772.79
28229417,Orlando,2754.25
37028778,Ontario,2675.0
33998384,Orlando,2665.2
37702972,Flowood,2648.5
31320274,Ontario,2647.4
30900250,Flowood,2645.25
45077845,Orlando,2578.85
34925683,Flowood,2574.49
38245526,Oklahoma City,2557.0
38413559,Ontario,2545.0
37507713,Orlando,2541.0
41124929,Ontario,2522.5
36507568,Orlando,2515.4
29638393,Flowood,2497.74
33690416,Atlanta,2400.6
36101290,Orlando,2330.75
35936059,Ontario,2309.1
33886832,Atlanta,2239.8
43387448,Flowood,2206.0
30075546,Atlanta,2187.2
27915567,Atlanta,2121.5
30635829,Charlotte,2013.0
38745962,Atlanta,1901.9
37686376,Flowood,1879.24
35047498,Charlotte,1824.6000000000001
41834871,Charlotte,1742.0
40263809,Atlanta,1712.8
43100191,Phoenix,1708.2
40182915,Ontario,1625.6000000000001
35826596,Ontario,1615.3
37688693,Charlotte,1578.4
43353725,Atlanta,1570.3
39321629,Charlotte,1568.4
31821925,Atlanta,1561.5
35134496,Atlanta,1550.0
40217946,Orlando,1541.44
43150177,Flowood,1535.24
36898050,Flowood,1534.25
32854976,Oklahoma City,1510.0
33989760,Flowood,1486.5
28105386,Ontario,1485.0
38060335,Atlanta,1474.25
30438494,Ontario,1420.15
44774823,Atlanta,1419.25
37768664,Atlanta,1418.7
44576626,Charlotte,1416.2
44273504,Phoenix,1396.5
38697650,Orlando,1338.99
38829856,Flowood,1337.25
35909425,Atlanta,1328.3
28379226,Orlando,1319.5
40011566,Flowood,1291.24
36421373,Ontario,1277.15
38817884,Orlando,1270.0
39521178,Flowood,1268.25
40103522,Atlanta,1263.8
41827572,Orlando,1238.79
40307252,Orlando,1235.5
37847603,Atlanta,1227.8
39099249,Atlanta,1173.5
32392983,Charlotte,1167.75
30099861,Orlando,1166.74
42323458,Atlanta,1162.4
41501846,Atlanta,1129.5
30707327,Atlanta,1120.2
35609499,Orlando,1093.64
42263887,Oklahoma City,1092.8
33672151,Oklahoma City,1075.8
42031682,Charlotte,1070.0
31267050,Ontario,1052.0
27624998,Atlanta,1046.65
43197961,Orlando,1036.25
30023221,Ontario,1029.4
41396618,Oklahoma City,1027.6
38355966,Charlotte,1017.6
28705647,Atlanta,1017.09
32515163,Orlando,1011.99
42533247,Oklahoma City,1011.36
37697531,Charlotte,1008.0
41754509,Atlanta,1000.0
34571987,Charlotte,993.5
30400011,Ontario,987.75
43431904,Charlotte,959.4
33902989,Flowood,924.5
42606153,Charlotte,911.5999999999999
33763749,Atlanta,900.35
36639801,Ontario,900.0
41054415,Flowood,891.0
45043816,Phoenix,889.2
39908335,Phoenix,887.5
33662267,Atlanta,881.95
44122172,Ontario,874.0
42325342,Orlando,866.0
40786339,Flowood,863.25
33874643,Atlanta,848.0
42673651,Orlando,835.0
35899460,Charlotte,833.2
28608198,Ontario,832.0
39597895,Oklahoma City,819.0
41700842,Atlanta,791.0
31645412,Charlotte,785.0
31092283,Oklahoma City,783.6
33286228,Charlotte,781.0
34977550,Atlanta,777.3
42102810,Orlando,774.0
32891411,Flowood,747.0
30412395,Atlanta,745.0
39574010,Oklahoma City,744.3
37112076,Ontario,735.0
31254466,Charlotte,710.0
29727952,Orlando,697.5
40683874,Orlando,695.5
34595927,Oklahoma City,694.8
26663608,Atlanta,653.05
28580127,Charlotte,651.0
28005417,Oklahoma City,649.04
32304667,Charlotte,645.0
37586479,Oklahoma City,645.0
29850541,Charlotte,642.0
33813874,Charlotte,636.0
40994091,Atlanta,631.6
36065838,Atlanta,623.5999999999999
44280422,Charlotte,617.0
39279206,Phoenix,571.0
32087544,Oklahoma City,570.0
41911022,Atlanta,555.0
36205174,Oklahoma City,549.4
44684103,Phoenix,535.2
44826380,Oklahoma City,533.0
33271716,Oklahoma City,529.0
44311900,Phoenix,524.5
38397120,Charlotte,513.0
44586736,Charlotte,496.0
39972442,Charlotte,486.0
31983864,Ontario,474.2
43209489,Charlotte,445.0
38792970,Ontario,421.0
33821506,Atlanta,418.0
26883976,Charlotte,356.0
35396714,Atlanta,348.0
29840043,Atlanta,336.0
36160354,Ontario,325.2
37624832,Atlanta,292.6
36763418,Atlanta,276.0
37776602,Atlanta,266.0
45407276,Charlotte,198.0
33311897,Atlanta,190.0
40359569,Atlanta,187.0
41773968,Charlotte,180.0
31978396,Atlanta,170.0
42492470,Atlanta,154.0
34428545,Charlotte,153.0
31084186,Atlanta,132.0
34658210,Atlanta,125.0
35586070,Atlanta,120.0
43897718,Charlotte,97.0
29754499,Charlotte,84.0
41265794,Atlanta,45.0
38206044,Atlanta,39.75
43292803,Charlotte,36.0
39210277,Flowood,29.0
37165098,Oklahoma City,0.0
