Warehouse,Model #,Description,Ext. Price
Atlanta,S-16769,"44 x 12 x 12"" Long Corrugated Boxes 15/bundle ",1473.75
Atlanta,S-4748,"40 x 8 x 8"" Long Corrugated Boxes 25/bundle ",1221.25
Atlanta,S-4201,"20 x 20 x 20"" Corrugated Boxes 10/bundle ",840.0
Atlanta,S-10665,"40 x 12 x 12"" Long Corrugated Boxes 15/bundle ",774.0
Atlanta,S-4185,"18 x 18 x 18"" Corrugated Boxes 20/bundle ",756.0
Atlanta,S-4574,"48 x 8 x 8"" Long Corrugated Boxes 20/bundle ",724.8
Atlanta,S-4084,"8 x 8 x 8"" Corrugated Boxes 25/bundle ",676.5
Atlanta,S-4125,"12 x 12 x 12"" Corrugated Boxes 25/bundle ",545.0
Atlanta,S-4534,"15 x 15 x 20"" Corrugated Boxes 25/bundle ",400.0
Atlanta,S-4913,"28 x 8 x 8"" Long Corrugated Boxes 25/bundle ",385.0
Atlanta,S-4142,"14 x 14 x 14"" Corrugated Boxes 25/bundle ",344.0
Atlanta,S-4105,"10 x 10 x 10"" Corrugated Boxes 25/bundle ",336.0
Atlanta,S-4040,"4 x 4 x 4"" Corrugated Boxes 25/bundle ",328.0
Atlanta,S-4062,"6 x 6 x 6"" Corrugated Boxes 25/bundle ",258.75
Atlanta,S-4335,"12 x 9 x 9"" Corrugated Boxes 25/bundle ",198.0
Atlanta,S-4166,"16 x 16 x 16"" Corrugated Boxes 25/bundle ",162.0
Atlanta,S-23310,"13 x 10 x 6"" Lightweight 32 ECT Corrugated Boxes 25/bundle ",107.0
Atlanta,S-16704,"8 x 8 x 42"" Tall Corrugated Boxes 20/bundle ",77.6
Atlanta,S-14266,"10 x 10 x 12"" Corrugated Boxes 25/bundle ",76.5
Atlanta,S-22168,"13 x 8 x 6"" Corrugated Boxes 25/bundle ",60.5
Atlanta,S-4645,"20 x 16 x 16"" Corrugated Boxes 15/bundle ",56.85
Atlanta,S-4418,"36 x 12 x 12"" Long Corrugated Boxes 15/bundle ",40.95
Atlanta,S-4724,"18 x 10 x 4"" Corrugated Boxes 25/bundle ",39.75
Atlanta,S-13287,"3 x 3 x 3"" Corrugated Boxes 25/bundle ",18.5
Charlotte,S-4995,"20 x 16 x 16"" 275 lb Double Wall Corrugated Boxes 10/bundle ",3753.6000000000004
Charlotte,S-4748,"40 x 8 x 8"" Long Corrugated Boxes 25/bundle ",2982.0
Charlotte,S-22173,"8 x 4 x 4"" Lightweight 32 ECT Corrugated Boxes 25/bundle ",1073.0
Charlotte,S-16464,"48 x 12 x 12"" 275 lb Double Wall Corrugated Boxes 10/bundle ",790.2
Charlotte,S-19062,"10 x 8 x 8"" Lightweight 32 ECT Corrugated Boxes 25/bundle ",567.0
Charlotte,S-18350,"16 x 16 x 8"" Lightweight 32 ECT Corrugated Boxes 25/bundle ",426.0
Charlotte,S-4218,"24 x 16 x 16"" Corrugated Boxes 10/bundle ",350.4
Charlotte,S-4456,"18 x 18 x 16"" Corrugated Boxes 20/bundle ",152.39999999999998
Charlotte,S-4911,"25 x 25 x 20"" Corrugated Boxes 10/bundle ",136.6
Charlotte,S-18355,"18 x 18 x 12"" Lightweight 32 ECT Corrugated Boxes 25/bundle ",49.0
Charlotte,S-19089,"13 x 13 x 9"" Corrugated Boxes 25/bundle ",48.0
Flowood,S-4606,"10 x 10 x 48"" Tall Corrugated Boxes 20/bundle ",7280.0
Flowood,S-16753,"17 x 12 x 10"" Corrugated Boxes 25/bundle ",1904.0
Flowood,S-4125,"12 x 12 x 12"" Corrugated Boxes 25/bundle ",1144.5
Flowood,S-15048,"14 x 12 x 10"" 275 lb Heavy Duty Corrugated Boxes 25/bundle ",738.75
Flowood,S-4854,"13 x 10 x 5"" Corrugated Boxes 25/bundle ",490.0
Flowood,S-10666,"48 x 10 x 10"" Long Corrugated Boxes 20/bundle ",460.0
Flowood,S-4201,"20 x 20 x 20"" Corrugated Boxes 10/bundle ",455.0
Flowood,S-4994,"20 x 14 x 4"" Corrugated Boxes 25/bundle ",294.0
Flowood,S-4406,"12 x 9 x 6"" Corrugated Boxes 25/bundle ",23.0
Oklahoma City,S-4618,"12 x 12 x 40"" Tall Corrugated Boxes 15/bundle ",961.8
