Date,Order #,Invoice,PO #,Category,Model #,Description,Qty,Ext. Price,Ordered By,Month,Quarter,Warehouse,Category_top
2025-12-29,45407276,202263519,JANET12292025,Warehouse Equipment / Supplies,H-1598,"LiftAll&reg; Ratchet Tie Downs - E-Track, 2"" x 16'",6,162.0,JANET,2025-12-01,2025Q4,Charlotte,Warehouse Equipment / Supplies
2025-12-29,45407276,202263519,JANET12292025,Strapping,S-512,"Poly Strapping Seals - Open, 1/2"" 1,000/carton",1,36.0,JANET,2025-12-01,2025Q4,Charlotte,Strapping
2025-12-29,45407276,202263519,JANET12292025,Free Offers,S-26269,2026 Bad Kitties&reg; Calendar,1,0.0,JANET,2025-12-01,2025Q4,Charlotte,Other
2025-12-22,45168556,202149178,ONT122225ST,Packing List Envelopes,S-209,"""Invoice Enclosed"" Banner Envelopes - Orange, 4 1/2 x 5 1/2""   1,000/carton",4,116.0,SUSAN,2025-12-01,2025Q4,Ontario,Packing List Envelopes
2025-12-22,45168556,202149178,ONT122225ST,Tape,S-445,"Uline Industrial Tape - 2 Mil, 3"" x 110 yds, Clear 24 rolls/case",24,110.4,SUSAN,2025-12-01,2025Q4,Ontario,Tape
2025-12-22,45168556,202149178,ONT122225ST,Stretch Wrap,S-12988S,"Uline Machine Length Stretch Film Skid Lot - One-Sided Cling, 70   gauge, 20"" x 6,500' 32 rolls/skid",32,2240.0,SUSAN,2025-12-01,2025Q4,Ontario,Stretch Wrap
2025-12-22,45168556,202149178,ONT122225ST,Envelopes and Mailers,S-7805,"Self-Seal Envelopes - Kraft, 9 x 12"" 100/case",2,42.0,SUSAN,2025-12-01,2025Q4,Ontario,Other
2025-12-22,45168556,202149178,ONT122225ST,Strapping,S-1081S,"Steel Strapping Skid Lot - Standard Grade, 1/2"" x .023"" x 2,688' 12   coils/skid",12,1608.0,SUSAN,2025-12-01,2025Q4,Ontario,Strapping
2025-12-22,45168556,202149178,ONT122225ST,Tape,H-596,"Uline Industrial Side Loader Tape Dispenser - 3""",1,0.0,SUSAN,2025-12-01,2025Q4,Ontario,Tape
2025-12-22,45168556,202149178,ONT122225ST,Warehouse Equipment / Supplies,H-2019,Manual Staple Gun,1,35.0,SUSAN,2025-12-01,2025Q4,Ontario,Warehouse Equipment / Supplies
2025-12-22,45168556,202149178,ONT122225ST,Free Offers,H-12115,Emergency Crank Radio,1,0.0,SUSAN,2025-12-01,2025Q4,Ontario,Other
2025-12-20,45077845,202133965,WHS600JOSE',"Boxes, Corrugated",S-4125,"12 x 12 x 12"" Corrugated Boxes 25/bundle",75,81.75,JOSE,2025-12-01,2025Q4,Orlando,"Boxes, Corrugated"
2025-12-20,45077845,202133965,WHS600JOSE',"Boxes, Corrugated",S-4060,"6 x 4 x 4"" Corrugated Boxes 25/bundle",200,74.0,JOSE,2025-12-01,2025Q4,Orlando,"Boxes, Corrugated"
2025-12-20,45077845,202133965,WHS600JOSE',"Boxes, Corrugated",S-19816,"24 x 14 x 20"" Corrugated Boxes 15/bundle",75,330.0,JOSE,2025-12-01,2025Q4,Orlando,"Boxes, Corrugated"
2025-12-20,45077845,202133965,WHS600JOSE',"Boxes, Corrugated",S-4190,"26 x 26 x 26"" Corrugated Boxes 10/bundle",50,403.0,JOSE,2025-12-01,2025Q4,Orlando,"Boxes, Corrugated"
2025-12-20,45077845,202133965,WHS600JOSE',"Boxes, Corrugated",S-4913,"28 x 8 x 8"" Long Corrugated Boxes 25/bundle",100,181.0,JOSE,2025-12-01,2025Q4,Orlando,"Boxes, Corrugated"
2025-12-20,45077845,202133965,WHS600JOSE',"Boxes, Corrugated",S-4748,"40 x 8 x 8"" Long Corrugated Boxes 25/bundle",100,314.0,JOSE,2025-12-01,2025Q4,Orlando,"Boxes, Corrugated"
2025-12-20,45077845,202133965,WHS600JOSE',Markers / Stencils,S-12700BL,"Uline Pallet Markers - Chisel-Tip, Black",24,27.6,JOSE,2025-12-01,2025Q4,Orlando,Other
