Model #,Description,Ext. Price
S-12988S,"Uline Machine Length Stretch Film Skid Lot - One-Sided Cling, 70   gauge, 20"" x 6,500' 32 rolls/skid",14464.0
S-8145S,"Uline Machine Length Stretch Film Skid Lot - Blown, 70 gauge, 20'' x   6,000' 32 rolls/skid",12608.0
S-13318,"20 x 20 x 16"" 275 lb Double Wall Corrugated Boxes 10/bundle",9828.0
H-11565,"Portacool&reg; Apex&trade; Evaporative Cooler - 36""",8300.0
S-4606,"10 x 10 x 48"" Tall Corrugated Boxes 20/bundle",7280.0
S-826,"Steel Strapping - Standard Grade, 3/4"" x .020"" x 2,058'",6544.0
S-4748,"40 x 8 x 8"" Long Corrugated Boxes 25/bundle",6306.75
S-12988,"Uline Machine Length Stretch Film - One-Sided Cling, 70 gauge, 20"" x   6,500'",5504.0
S-4480B,"48 x 40 x 36"" Double Wall Gaylord Bottom 5/bundle",5380.0
S-3968,"Uline Stretch Wrap - Cast, 120 gauge, 18"" x 1,000' 4 rolls/case",4812.0
S-7828,"3M 8934 Economy Strapping Tape - 3"" x 60 yds 12 rolls/case",4541.4
S-3473,"Side Loading Packing List Envelopes - Clear, 6 x 9"" 1,000/carton",3834.0
S-22574,"48 x 40 x 48"" Double Wall Gaylord Box with Lid 5/bundle",3762.75
S-4995,"20 x 16 x 16"" 275 lb Double Wall Corrugated Boxes 10/bundle",3753.6000000000004
S-1081S,"Steel Strapping Skid Lot - Standard Grade, 1/2"" x .023"" x 2,688' 12   coils/skid",3216.0
S-22043,"Uline Fast Tack Spray Adhesive - Low VOC, 14 oz",3045.0
H-6328BL,"Pedestal Sign Holder - 8 1/2 x 11"", Black",3005.0
S-423,"Uline Industrial Tape - 2 Mil, 2"" x 110 yds, Clear 36 rolls/case",2958.12
S-6802,"Desktop Direct Thermal Labels - 4 x 6"" 250/roll",2880.0
S-6264,"Industrial Direct Thermal Labels - 4 x 6"" 1,000/roll",2772.0
H-3325BL,"Uline Flat Shelf Utility Cart - Standard, 44 x 25 x 33"", Black",2650.0
S-11683,Oil-Dri&reg; Premium Bag - 35 lb,2613.25
S-209,"""Invoice Enclosed"" Banner Envelopes - Orange, 4 1/2 x 5 1/2""   1,000/carton",2552.0
S-2190,"Uline Stretch Wrap - Cast, 80 gauge, 18"" x 1,500' 4 rolls/case",2520.0
S-4125,"12 x 12 x 12"" Corrugated Boxes 25/bundle",2479.75
S-445,"Uline Industrial Tape - 2 Mil, 3"" x 110 yds, Clear 24 rolls/case",2389.2
H-3256,"Wide Span Storage Rack - Wire Decking, 96 x 36 x 72""",2200.0
S-4854,"13 x 10 x 5"" Corrugated Boxes 25/bundle",2184.5
S-4219,"24 x 18 x 12"" Corrugated Boxes 10/bundle",2087.8
S-3000,"Polyester Strapping - Green, 1/2"" x .021"" x 9,000'",2066.0
S-16753,"17 x 12 x 10"" Corrugated Boxes 25/bundle",1904.0
S-7247,"Universal Sorbent Pads - 15 x 19"", Heavy 100/carton",1804.0
S-3927P,"Economy Bubble Roll - 12"" x 750', 3/16"", Perforated 4 rolls/bundle",1764.0
S-6671,"Uline Stretch Wrap Skid Lot - Cast, 70 gauge, 18"" x 1,500' 96   rolls/skid",1675.2
S-7127,"Uline Deluxe Multi-Fold Towels 4,000 sheets/case",1672.0
S-207,"""Packing List Enclosed"" Banner Envelopes - Orange, 4 1/2 x 5 1/2""   1,000/carton",1581.0
S-6669,"Uline Stretch Wrap Skid Lot - Blown, 70 gauge, 18"" x 1,500' 96   rolls/skid",1579.2
S-7815,"American Flag Packing List Envelopes - 4 1/2 x 5 1/2"" 1,000/carton",1530.0
S-16769,"44 x 12 x 12"" Long Corrugated Boxes 15/bundle",1473.75
S-8145,"Uline Machine Length Stretch Film - Blown, 70 gauge, 20'' x 6,000'",1456.0
S-4913,"28 x 8 x 8"" Long Corrugated Boxes 25/bundle",1433.0
S-12404,"Jumbo Natural Nylon Cable Ties - 30"", 250 lb 100/pack",1424.0
S-7541P,"Heavy Duty Bubble Roll - 12"" x 250', 1/2"", Perforated 4 rolls/bundle",1420.0
S-642,"Uline Stretch Wrap - Blown, 80 gauge, 18"" x 1,500' 4 rolls/case",1360.0
S-8278P,"Economy Bubble Roll - 16"" x 375', 5/16"", Perforated 3 rolls/bundle",1359.0
S-4201,"20 x 20 x 20"" Corrugated Boxes 10/bundle",1295.0
S-4542,"20 x 14 x 6"" Corrugated Boxes 25/bundle",1278.75
S-313,Uline Fast Tack Spray Adhesive - 11.5 oz,1241.5
S-7131,Uline Toilet Tissue 96 rolls/case,1232.0
