Date,Order #,Invoice,PO #,Category,Model #,Description,Qty,Ext. Price,Ordered By,Month,Quarter,Warehouse,Category_top
2025-12-29,45407276,202263519,JANET12292025,Free Offers,S-26269,2026 Bad Kitties&reg; Calendar,1,0.0,JANET,2025-12-01,2025Q4,Charlotte,Other
2025-12-22,45168556,202149178,ONT122225ST,Tape,H-596,"Uline Industrial Side Loader Tape Dispenser - 3""",1,0.0,SUSAN,2025-12-01,2025Q4,Ontario,Tape
2025-12-22,45168556,202149178,ONT122225ST,Free Offers,H-12115,Emergency Crank Radio,1,0.0,SUSAN,2025-12-01,2025Q4,Ontario,Other
2025-12-20,45077845,202133965,WHS600JOSE',Free Offers,H-10898,Air Fryer,1,0.0,JOSE,2025-12-01,2025Q4,Orlando,Other
2025-12-19,45043816,202093655,GERALD,Free Offers,S-25532,Classic Holiday Nuts Collection,1,0.0,GERALD,2025-12-01,2025Q4,Phoenix,Other
2025-12-18,44826380,202033438,GILBERT,Tape,H-150,"Uline Industrial Side Loader Tape Dispenser - 2""",1,0.0,GILBERT,2025-12-01,2025Q4,Oklahoma City,Tape
2025-12-18,44826380,202033438,GILBERT,Free Offers,S-25077DAL-L,"NFL Henley - Dallas Cowboys, Large",1,0.0,GILBERT,2025-12-01,2025Q4,Oklahoma City,Other
2025-12-17,44774823,201977702,JONATHAN,Tape,H-150,"Uline Industrial Side Loader Tape Dispenser - 2""",1,0.0,JONATHAN,2025-12-01,2025Q4,Atlanta,Tape
2025-12-17,44774823,201977702,JONATHAN,Free Offers,S-25692DAL-X,"Ladies' NFL Crewneck - Dallas Cowboys, XL",1,0.0,JONATHAN,2025-12-01,2025Q4,Atlanta,Other
2025-12-16,44586736,201906707,JANET12162025,Free Offers,S-26130,Blackstone Seasoning Set,1,0.0,JANET,2025-12-01,2025Q4,Charlotte,Other
2025-12-16,44576626,201905024,JANET12162025,Facilities Maintenance,H-505,Spray Can Holder/Gun,1,0.0,JANET,2025-12-01,2025Q4,Charlotte,Other
2025-12-16,44576626,201905024,JANET12162025,Tape,H-596,"Uline Industrial Side Loader Tape Dispenser - 3""",1,0.0,JANET,2025-12-01,2025Q4,Charlotte,Tape
2025-12-16,44576626,201905024,JANET12162025,Free Offers,H-6688R,Kyocera Ceramic Knives - Red 3/set,1,0.0,JANET,2025-12-01,2025Q4,Charlotte,Other
2025-12-08,43399029,201501513,ONT12825ST,Free Offers,H-10882,Job Site Light,1,0.0,SUSAN,2025-12-01,2025Q4,Ontario,Other
2025-12-08,43387448,201498656,DELL,Free Offers,S-22047,Uline Ceramic Travel Mug,1,0.0,DELL,2025-12-01,2025Q4,Flowood,Other
2025-12-04,43209489,201377778,JANET,Free Offers,S-20298NEP,NFL Knit Hat - New England Patriots,1,0.0,JANET,2025-12-01,2025Q4,Charlotte,Other
2025-12-03,44273504,201360065,GERALD,Free Offers,S-21433R,Utility Wagon - Red,1,0.0,GERALD,2025-12-01,2025Q4,Phoenix,Other
2025-12-03,43353725,201336532,JONATHAN,Free Offers,S-20987,SwissGear&reg; Laptop Backpack,1,0.0,JONATHAN,2025-12-01,2025Q4,Atlanta,Other
2025-12-03,43150177,201318191,DELL,Tape,H-150,"Uline Industrial Side Loader Tape Dispenser - 2""",1,0.0,DELL,2025-12-01,2025Q4,Flowood,Tape
2025-11-26,42822046,201108177,WHS600JOSE',Free Offers,H-10884,Blackstone Tabletop Griddle,1,0.0,JOSE,2025-11-01,2025Q4,Orlando,Other
2025-11-24,43431904,201022709,JANET11242025,Tape,H-596,"Uline Industrial Side Loader Tape Dispenser - 3""",1,0.0,JANET,2025-11-01,2025Q4,Charlotte,Tape
2025-11-24,43431904,201022709,JANET11242025,Stretch Wrap,H-175,Stretch Wrap Cutter,1,0.0,JANET,2025-11-01,2025Q4,Charlotte,Stretch Wrap
2025-11-24,43431904,201022709,JANET11242025,Free Offers,H-9519,Magic Bullet&reg;,1,0.0,JANET,2025-11-01,2025Q4,Charlotte,Other
2025-11-21,42533247,200934253,GILBERT,Tape,H-150,"Uline Industrial Side Loader Tape Dispenser - 2""",1,0.0,GILBERT,2025-11-01,2025Q4,Oklahoma City,Tape
2025-11-21,42533247,200934253,GILBERT,Free Offers,S-25604BLU,Glamping Chair,1,0.0,GILBERT,2025-11-01,2025Q4,Oklahoma City,Other
2025-11-19,44684103,200840115,GERALD,Tape,H-150,"Uline Industrial Side Loader Tape Dispenser - 2""",1,0.0,GERALD,2025-11-01,2025Q4,Phoenix,Tape
2025-11-19,44684103,200840115,GERALD,Free Offers,H-9594,Weber&reg; BBQ Tool Set,1,0.0,GERALD,2025-11-01,2025Q4,Phoenix,Other
2025-11-13,41501846,200534641,JONATHAN,Free Offers,S-25533ATL2X,"MLB Windbreaker - Atlanta Braves, 2XL",1,0.0,JONATHAN,2025-11-01,2025Q4,Atlanta,Other
2025-11-12,44311900,200511745,GERALD,Free Offers,S-25532,Classic Holiday Nuts Collection,1,0.0,GERALD,2025-11-01,2025Q4,Phoenix,Other
2025-11-11,44280422,200461166,JANET11112025,Free Offers,S-25021BL,YETI&reg; Knit Hat - Black,1,0.0,JANET,2025-11-01,2025Q4,Charlotte,Other
2025-10-30,40683874,199943225,WHS400,Free Offers,S-20298MIA,NFL Knit Hat - Miami Dolphins,1,0.0,JOSE,2025-10-01,2025Q4,Orlando,Other
2025-10-30,40217946,199925175,WHS600JOSE',Tape,H-150,"Uline Industrial Side Loader Tape Dispenser - 2""",1,0.0,JOSE,2025-10-01,2025Q4,Orlando,Tape
2025-10-30,40217946,199925175,WHS600JOSE',Free Offers,S-25625LTBLU,Bogg&reg; Bag Combo - Light Blue,1,0.0,JOSE,2025-10-01,2025Q4,Orlando,Other
2025-10-29,43697080,199915387,JANET10292025,Stretch Wrap,H-175,Stretch Wrap Cutter,1,0.0,JANET,2025-10-01,2025Q4,Charlotte,Stretch Wrap
2025-10-29,43697080,199915387,JANET10292025,Tape,H-596,"Uline Industrial Side Loader Tape Dispenser - 3""",1,0.0,JANET,2025-10-01,2025Q4,Charlotte,Tape
2025-10-29,43697080,199915387,JANET10292025,Free Offers,H-12110,Professional Knife Set,1,0.0,JANET,2025-10-01,2025Q4,Charlotte,Other
2025-10-29,40182915,199878474,ONT102925ST,Tape,H-596,"Uline Industrial Side Loader Tape Dispenser - 3""",1,0.0,SUSAN,2025-10-01,2025Q4,Ontario,Tape
2025-10-28,40011566,199808855,DELL,Tape,H-150,"Uline Industrial Side Loader Tape Dispenser - 2""",1,0.0,DELL,2025-10-01,2025Q4,Flowood,Tape
2025-10-28,40011566,199808855,DELL,Free Offers,H-12107,Trail Camera,1,0.0,DELL,2025-10-01,2025Q4,Flowood,Other
2025-10-27,39908335,199746382,GERALD,Free Offers,S-25532,Classic Holiday Nuts Collection,1,0.0,GERALD,2025-10-01,2025Q4,Phoenix,Other
2025-10-23,39597895,199625375,RICARDO,Tape,H-150,"Uline Industrial Side Loader Tape Dispenser - 2""",1,0.0,GILBERT,2025-10-01,2025Q4,Oklahoma City,Tape
2025-10-23,39597895,199625375,RICARDO,Free Offers,H-12108R,3-in-1 Creeper Seat,1,0.0,GILBERT,2025-10-01,2025Q4,Oklahoma City,Other
2025-10-20,43197961,199478215,WHS600JOSE',Free Offers,H-2790BL,Weber&reg; Smokey Joe&reg; Grill,1,0.0,JOSE,2025-10-01,2025Q4,Orlando,Other
2025-10-20,39279206,199447561,GERALD,Free Offers,S-26266,"2026 Ah, the Beach&reg; Calendar",1,0.0,GERALD,2025-10-01,2025Q4,Phoenix,Other
2025-10-16,43100191,199371517,GERALD,Free Offers,S-24856,Sony&reg; Wireless Earbuds,1,0.0,GERALD,2025-10-01,2025Q4,Phoenix,Other
2025-10-15,38829856,199260045,DELL,Facilities Maintenance,H-505,Spray Can Holder/Gun,1,0.0,DELL,2025-10-01,2025Q4,Flowood,Other
2025-10-14,38817884,199220299,WHS400JOSE',Free Offers,H-11603,Blackstone Burger Tool Set,1,0.0,JOSE,2025-10-01,2025Q4,Orlando,Other
2025-10-09,38458396,199051094,ONT10925ST,Tape,H-596,"Uline Industrial Side Loader Tape Dispenser - 3""",1,0.0,SUSAN,2025-10-01,2025Q4,Ontario,Tape
2025-10-09,38458396,199051094,ONT10925ST,Free Offers,S-23921,Big Daddy Rocker,1,0.0,SUSAN,2025-10-01,2025Q4,Ontario,Other
2025-10-09,38355966,199082254,#KENNETH,Free Offers,H-6688R,Kyocera Ceramic Knives - Red 3/set,1,0.0,JANET,2025-10-01,2025Q4,Charlotte,Other
2025-10-08,42673651,199006079,WHS600JOSE',Free Offers,S-26037R,Heated Seat Cushion - Red,1,0.0,JOSE,2025-10-01,2025Q4,Orlando,Other
2025-10-08,38245526,198970822,GILBERT,Free Offers,S-23278,Zero Gravity Love Seat,1,0.0,GILBERT,2025-10-01,2025Q4,Oklahoma City,Other
2025-10-07,42606153,198944853,JANET1072025,Tape,H-596,"Uline Industrial Side Loader Tape Dispenser - 3""",1,0.0,JANET,2025-10-01,2025Q4,Charlotte,Tape
2025-10-07,42606153,198944853,JANET1072025,Free Offers,H-10105,Deluxe Steak Knife Set,1,0.0,JANET,2025-10-01,2025Q4,Charlotte,Other
2025-10-06,38060335,198867548,TRAVIS,Free Offers,S-25475DET,NFL Blanket - Detroit Lions,1,0.0,TRAVIS,2025-10-01,2025Q4,Atlanta,Other
2025-10-03,42492470,198823355,TRAVIS,Free Offers,S-26267,2026 American Muscle Cars Calendar,1,0.0,TRAVIS,2025-10-01,2025Q4,Atlanta,Other
2025-10-02,37768664,198746668,TRAVIS,Free Offers,S-23787BL,Camp Chair and Cooler Combo - Black/Lime,1,0.0,TRAVIS,2025-10-01,2025Q4,Atlanta,Other
2025-10-02,37686376,198726218,DELL,Tape,H-150,"Uline Industrial Side Loader Tape Dispenser - 2""",1,0.0,DELL,2025-10-01,2025Q4,Flowood,Tape
2025-10-01,42325342,198696106,WHS600JOSE',Free Offers,H-10105,Deluxe Steak Knife Set,1,0.0,JOSE,2025-10-01,2025Q4,Orlando,Other
