Category,unique_models
Free Offers,99
"Boxes, Corrugated",69
Janitorial Supplies,68
Warehouse Equipment / Supplies,28
Facilities Maintenance,24
Markers / Stencils,18
Labels,18
Strapping,17
Gloves,16
Stretch Wrap,16
Office Supplies,14
Tape,12
Food Service and Packaging,10
Cleaners,10
Material Handling,10
Packing List Envelopes,8
Shelving and Storage,7
Bubble Cushioning,7
Carts,6
Envelopes and Mailers,5
Bins and Totes,5
"Cushioning, Peanuts and Foam",5
Barcode Labels and Printers,4
Packing Tables,4
Office Furniture,4
Safety Products,3
Mats,3
Store Operations,2
"Bags, Poly / Plastic",2
Workbenches and Packing Tables,2
3M Tape,1
Edge Protectors,1
Personal Protective Equipment,1
Shrink Wrap,1
nan,1
